cake_crop_id,crop_file_name,shape,dominant_color,visual_style,lettering_type,board_lettering,border_type,cream_decoration,topping_decoration,character_type,text_presence,memo
4,_onyourday_1667207242_2961071421200629117_12861674625_cake_1.jpg,판단불가,판단불가,판단불가,판단불가,판단불가,판단불가,판단불가,판단불가,판단불가,판단불가,자동 태깅 실패
5,_onyourday_1667294897_2961806726807664337_12861674625_cake_1.jpg,판단불가,판단불가,판단불가,판단불가,판단불가,판단불가,판단불가,판단불가,판단불가,판단불가,자동 태깅 실패
6,_onyourday_1667381361_2962532038948193892_12861674625_cake_1.jpg,판단불가,판단불가,판단불가,판단불가,판단불가,판단불가,판단불가,판단불가,판단불가,판단불가,자동 태깅 실패
7,_onyourday_1667466914_2963249708203170261_12861674625_cake_1.jpg,판단불가,판단불가,판단불가,판단불가,판단불가,판단불가,판단불가,판단불가,판단불가,판단불가,자동 태깅 실패
8,_onyourday_1667634022_2964651511566253430_12861674625_cake_1.jpg,판단불가,판단불가,판단불가,판단불가,판단불가,판단불가,판단불가,판단불가,판단불가,판단불가,자동 태깅 실패
9,_onyourday_1667727696_2965437310008187952_12861674625_cake_1.jpg,판단불가,판단불가,판단불가,판단불가,판단불가,판단불가,판단불가,판단불가,판단불가,판단불가,자동 태깅 실패
10,_onyourday_1667820802_2966218341714537793_12861674625_cake_1.jpg,판단불가,판단불가,판단불가,판단불가,판단불가,판단불가,판단불가,판단불가,판단불가,판단불가,자동 태깅 실패
11,_onyourday_1667904128_2966917325412113926_12861674625_cake_1.jpg,판단불가,판단불가,판단불가,판단불가,판단불가,판단불가,판단불가,판단불가,판단불가,판단불가,자동 태깅 실패
12,_onyourday_1667990691_2967643471347097456_12861674625_cake_1.jpg,판단불가,판단불가,판단불가,판단불가,판단불가,판단불가,판단불가,판단불가,판단불가,판단불가,자동 태깅 실패
13,_onyourday_1668067537_2968288103182819330_12861674625_cake_1.jpg,판단불가,판단불가,판단불가,판단불가,판단불가,판단불가,판단불가,판단불가,판단불가,판단불가,자동 태깅 실패
